00:01	|R 2315	|V 35.3	|I 0.3	|W 9	|TH 99%	|B 35%	|Wh 307	|T 34.0	|Pa 0W	|Pi 0	
00:02	|R 2314	|V 35.4	|I 1.6	|W 58	|TH 0%	|B 35%	|Wh 308	|T 34.2	|Pa 58W	|Pi 99	
00:03	|R 626	|V 35.4	|I 0.0	|W 0	|TH 0%	|B 35%	|Wh 308	|T 34.2	|Pa 58W	|Pi 99	
00:04	|R 3	|V 35.4	|I 0.0	|W 0	|TH 0%	|B 35%	|Wh 308	|T 34.0	|Pa 58W	|Pi 99	
00:05	|R 1	|V 35.4	|I 0.0	|W 0	|TH 0%	|B 35%	|Wh 308	|T 34.0	|Pa 58W	|Pi 99	
00:06	|R 1	|V 35.4	|I 0.0	|W 0	|TH 0%	|B 35%	|Wh 308	|T 34.0	|Pa 58W	|Pi 99	
00:07	|R 0	|V 35.4	|I 0.0	|W 0	|TH 0%	|B 34%	|Wh 308	|T 34.1	|Pa 58W	|Pi 99	
00:08	|R 0	|V 35.4	|I 0.0	|W 0	|TH 0%	|B 34%	|Wh 308	|T 34.1	|Pa 58W	|Pi 99	
00:09	|R 0	|V 35.4	|I 0.0	|W 0	|TH 0%	|B 34%	|Wh 308	|T 34.1	|Pa 58W	|Pi 99	
00:10	|R 0	|V 35.4	|I 0.0	|W 0	|TH 0%	|B 34%	|Wh 308	|T 34.1	|Pa 58W	|Pi 99	
00:11	|R 0	|V 35.4	|I 0.0	|W 0	|TH 0%	|B 34%	|Wh 308	|T 34.1	|Pa 58W	|Pi 99	
00:12	|R 2327	|V 35.3	|I 0.3	|W 8	|TH 99%	|B 34%	|Wh 307	|T 34.2	|Pa 58W	|Pi 99	
00:13	|R 4093	|V 35.4	|I 1.8	|W 62	|TH 99%	|B 34%	|Wh 308	|T 34.2	|Pa 60W	|Pi 99	
00:14	|R 4099	|V 35.4	|I 1.4	|W 48	|TH 99%	|B 34%	|Wh 308	|T 34.2	|Pa 56W	|Pi 99	
00:15	|R 2894	|V 35.4	|I 1.0	|W 37	|TH 0%	|B 34%	|Wh 308	|T 34.3	|Pa 51W	|Pi 99	
00:16	|R 1007	|V 35.4	|I 0.0	|W 0	|TH 0%	|B 34%	|Wh 308	|T 34.3	|Pa 51W	|Pi 99	
