00:44	|R 2736	|V 36.2	|I 37.4	|W 1354	|TH 85%	|B 44%	|Wh 19	|T 30.4	|Pa 1529W	|Pi 15	
00:45	|R 2755	|V 36.2	|I 36.8	|W 1332	|TH 85%	|B 44%	|Wh 19	|T 30.5	|Pa 1524W	|Pi 15	
00:46	|R 2794	|V 36.1	|I 36.6	|W 1322	|TH 88%	|B 44%	|Wh 20	|T 30.7	|Pa 1520W	|Pi 15	
00:47	|R 2797	|V 36.1	|I 36.7	|W 1323	|TH 88%	|B 44%	|Wh 20	|T 30.7	|Pa 1516W	|Pi 16	
00:48	|R 2800	|V 35.8	|I 37.2	|W 1332	|TH 89%	|B 44%	|Wh 20	|T 30.8	|Pa 1512W	|Pi 16	
00:49	|R 3381	|V 38.8	|I 29.3	|W 1137	|TH 75%	|B 44%	|Wh 22	|T 30.9	|Pa 1504W	|Pi 17	
00:50	|R 2030	|V 38.9	|I 2.0	|W 75	|TH 68%	|B 47%	|Wh 22	|T 30.9	|Pa 1476W	|Pi 19	
00:51	|R 3092	|V 39.1	|I 9.6	|W 374	|TH 64%	|B 47%	|Wh 23	|T 30.8	|Pa 1454W	|Pi 21	
00:52	|R 2570	|V 38.1	|I 9.4	|W 358	|TH 72%	|B 47%	|Wh 22	|T 30.7	|Pa 1433W	|Pi 23	
00:53	|R 2419	|V 37.6	|I 13.9	|W 524	|TH 73%	|B 47%	|Wh 22	|T 30.8	|Pa 1416W	|Pi 24	
00:54	|R 2821	|V 38.1	|I 21.4	|W 816	|TH 77%	|B 47%	|Wh 23	|T 30.8	|Pa 1405W	|Pi 25	
00:55	|R 2584	|V 37.5	|I 28.5	|W 1068	|TH 77%	|B 47%	|Wh 22	|T 30.9	|Pa 1399W	|Pi 26	
00:56	|R 2491	|V 37.0	|I 25.2	|W 932	|TH 77%	|B 47%	|Wh 22	|T 31.0	|Pa 1390W	|Pi 26	
00:57	|R 2456	|V 37.2	|I 31.7	|W 1178	|TH 77%	|B 47%	|Wh 23	|T 31.1	|Pa 1387W	|Pi 27	
00:58	|R 2514	|V 36.9	|I 31.4	|W 1158	|TH 79%	|B 47%	|Wh 23	|T 31.2	|Pa 1383W	|Pi 27	
00:59	|R 2536	|V 36.9	|I 32.5	|W 1199	|TH 79%	|B 47%	|Wh 23	|T 31.3	|Pa 1379W	|Pi 27	
01:00	|R 2507	|V 36.8	|I 34.1	|W 1255	|TH 79%	|B 47%	|Wh 24	|T 31.4	|Pa 1377W	|Pi 27	
01:01	|R 2573	|V 36.7	|I 35.0	|W 1284	|TH 80%	|B 55%	|Wh 24	|T 31.5	|Pa 1376W	|Pi 27	
01:02	|R 2607	|V 36.5	|I 37.5	|W 1368	|TH 80%	|B 55%	|Wh 24	|T 31.6	|Pa 1376W	|Pi 27	
01:03	|R 2615	|V 37.0	|I 33.1	|W 1223	|TH 78%	|B 55%	|Wh 25	|T 31.7	|Pa 1373W	|Pi 28	
01:04	|R 3093	|V 38.1	|I 26.5	|W 1008	|TH 79%	|B 55%	|Wh 26	|T 31.7	|Pa 1368W	|Pi 28	
01:05	|R 3150	|V 37.7	|I 32.2	|W 1215	|TH 82%	|B 55%	|Wh 26	|T 31.8	|Pa 1365W	|Pi 28	
01:06	|R 3622	|V 38.9	|I 22.2	|W 864	|TH 77%	|B 55%	|Wh 27	|T 31.8	|Pa 1358W	|Pi 29	
01:07	|R 2838	|V 37.4	|I 25.4	|W 951	|TH 79%	|B 55%	|Wh 26	|T 31.8	|Pa 1352W	|Pi 29	
01:08	|R 2981	|V 38.1	|I 27.2	|W 1037	|TH 77%	|B 55%	|Wh 27	|T 32.0	|Pa 1347W	|Pi 30	
01:09	|R 2617	|V 36.3	|I 33.7	|W 1223	|TH 83%	|B 55%	|Wh 26	|T 31.9	|Pa 1345W	|Pi 30	
01:10	|R 2844	|V 37.1	|I 30.5	|W 1130	|TH 85%	|B 55%	|Wh 27	|T 32.1	|Pa 1342W	|Pi 30	
01:11	|R 2613	|V 36.5	|I 38.6	|W 1407	|TH 82%	|B 55%	|Wh 27	|T 32.1	|Pa 1343W	|Pi 30	
01:12	|R 2653	|V 36.2	|I 39.8	|W 1440	|TH 85%	|B 53%	|Wh 27	|T 32.2	|Pa 1344W	|Pi 30	
01:13	|R 2786	|V 36.1	|I 39.1	|W 1410	|TH 85%	|B 53%	|Wh 27	|T 32.4	|Pa 1345W	|Pi 30	
01:14	|R 1332	|V 39.0	|I 17.3	|W 673	|TH 33%	|B 53%	|Wh 30	|T 32.4	|Pa 1336W	|Pi 31	
01:15	|R 2085	|V 38.4	|I 17.4	|W 667	|TH 59%	|B 53%	|Wh 29	|T 32.3	|Pa 1327W	|Pi 32	
01:16	|R 2443	|V 37.2	|I 16.8	|W 625	|TH 77%	|B 53%	|Wh 29	|T 32.4	|Pa 1318W	|Pi 32	
01:17	|R 2420	|V 37.1	|I 31.6	|W 1171	|TH 77%	|B 53%	|Wh 29	|T 32.4	|Pa 1316W	|Pi 32	
01:18	|R 2641	|V 37.6	|I 29.0	|W 1091	|TH 75%	|B 53%	|Wh 30	|T 32.6	|Pa 1313W	|Pi 33	
01:19	|R 2586	|V 36.7	|I 30.1	|W 1105	|TH 80%	|B 53%	|Wh 29	|T 32.6	|Pa 1310W	|Pi 33	
01:20	|R 2567	|V 36.9	|I 33.8	|W 1249	|TH 79%	|B 53%	|Wh 30	|T 32.7	|Pa 1310W	|Pi 33	
01:21	|R 2654	|V 36.7	|I 24.2	|W 886	|TH 82%	|B 53%	|Wh 30	|T 32.7	|Pa 1304W	|Pi 33	
01:22	|R 2738	|V 36.7	|I 38.8	|W 1425	|TH 83%	|B 53%	|Wh 30	|T 32.8	|Pa 1306W	|Pi 33	
01:23	|R 2685	|V 36.5	|I 36.0	|W 1312	|TH 83%	|B 52%	|Wh 30	|T 32.9	|Pa 1306W	|Pi 33	
01:24	|R 2812	|V 36.8	|I 36.4	|W 1338	|TH 82%	|B 52%	|Wh 31	|T 33.0	|Pa 1306W	|Pi 33	
01:25	|R 2586	|V 36.6	|I 27.5	|W 1005	|TH 80%	|B 52%	|Wh 31	|T 33.0	|Pa 1303W	|Pi 34	
01:26	|R 2634	|V 37.5	|I 22.0	|W 823	|TH 75%	|B 52%	|Wh 32	|T 33.0	|Pa 1297W	|Pi 34	
01:27	|R 2606	|V 36.5	|I 32.9	|W 1200	|TH 82%	|B 52%	|Wh 32	|T 33.1	|Pa 1296W	|Pi 34	
