00:01	|R 1600	|V 39.4	|I 12.0	|W 473	|TH 55%	|B 93%	|Wh 0	|T 24.4	|Pa 265W	|Pi 99	|ESP fails	
03:06	|R 2690	|V 36.4	|I 36.1	|W 1313	|TH 82%	|B 55%	|Wh 50	|T 36.8	|Pa 1100W	|Pi 50	
03:07	|R 2650	|V 37.0	|I 32.8	|W 1212	|TH 80%	|B 55%	|Wh 52	|T 36.9	|Pa 1100W	|Pi 50	
03:08	|R 1136	|V 38.6	|I 18.7	|W 720	|TH 0%	|B 55%	|Wh 54	|T 36.9	|Pa 1098W	|Pi 51	
03:09	|R 6	|V 38.8	|I 0.0	|W 0	|TH 0%	|B 55%	|Wh 54	|T 36.7	|Pa 1098W	|Pi 51	
03:10	|R 1	|V 38.9	|I 0.0	|W 0	|TH 0%	|B 55%	|Wh 54	|T 36.6	|Pa 1098W	|Pi 51	
03:11	|R 1	|V 38.9	|I 0.0	|W 0	|TH 0%	|B 55%	|Wh 54	|T 36.5	|Pa 1098W	|Pi 51	
03:12	|R 0	|V 39.0	|I 0.0	|W 0	|TH 0%	|B 55%	|Wh 55	|T 36.4	|Pa 1098W	|Pi 51	
03:13	|R 0	|V 39.0	|I 0.0	|W 0	|TH 0%	|B 59%	|Wh 55	|T 36.4	|Pa 1098W	|Pi 51	
03:14	|R 0	|V 39.0	|I 0.0	|W 0	|TH 0%	|B 59%	|Wh 55	|T 36.3	|Pa 1098W	|Pi 51	
03:15	|R 0	|V 39.1	|I 0.0	|W 0	|TH 0%	|B 59%	|Wh 55	|T 36.1	|Pa 1098W	|Pi 51	
03:16	|R 0	|V 39.1	|I 0.0	|W 0	|TH 0%	|B 59%	|Wh 55	|T 36.1	|Pa 1098W	|Pi 51	
03:17	|R 2292	|V 38.0	|I 1.7	|W 63	|TH 80%	|B 59%	|Wh 53	|T 36.0	|Pa 1092W	|Pi 51	
03:18	|R 2274	|V 38.2	|I 23.0	|W 879	|TH 68%	|B 59%	|Wh 54	|T 36.2	|Pa 1091W	|Pi 51	
03:19	|R 2209	|V 37.2	|I 24.7	|W 919	|TH 72%	|B 59%	|Wh 53	|T 36.2	|Pa 1090W	|Pi 51	
03:20	|R 2349	|V 36.8	|I 30.1	|W 1106	|TH 75%	|B 59%	|Wh 52	|T 36.4	|Pa 1090W	|Pi 51	
03:21	|R 2407	|V 36.9	|I 30.1	|W 1110	|TH 79%	|B 59%	|Wh 53	|T 36.5	|Pa 1090W	|Pi 51	
03:22	|R 2405	|V 36.8	|I 33.7	|W 1242	|TH 75%	|B 59%	|Wh 53	|T 36.6	|Pa 1091W	|Pi 51	
03:23	|R 2459	|V 36.8	|I 31.4	|W 1155	|TH 77%	|B 59%	|Wh 53	|T 36.8	|Pa 1091W	|Pi 51	
03:24	|R 2453	|V 36.7	|I 32.2	|W 1180	|TH 77%	|B 57%	|Wh 53	|T 36.8	|Pa 1092W	|Pi 51	
03:25	|R 2461	|V 36.7	|I 31.5	|W 1157	|TH 77%	|B 57%	|Wh 54	|T 36.9	|Pa 1092W	|Pi 51	
03:26	|R 2343	|V 37.0	|I 29.6	|W 1093	|TH 73%	|B 57%	|Wh 54	|T 37.0	|Pa 1092W	|Pi 51	
03:27	|R 2444	|V 36.8	|I 29.1	|W 1071	|TH 77%	|B 57%	|Wh 54	|T 37.2	|Pa 1092W	|Pi 51	
03:28	|R 2470	|V 36.7	|I 29.4	|W 1078	|TH 77%	|B 57%	|Wh 55	|T 37.2	|Pa 1092W	|Pi 51	
03:29	|R 2516	|V 36.8	|I 31.5	|W 1157	|TH 79%	|B 57%	|Wh 55	|T 37.3	|Pa 1092W	|Pi 51	
03:30	|R 2473	|V 36.7	|I 32.0	|W 1172	|TH 79%	|B 57%	|Wh 55	|T 37.4	|Pa 1093W	|Pi 51	
03:31	|R 2489	|V 36.6	|I 34.0	|W 1245	|TH 78%	|B 57%	|Wh 55	|T 37.5	|Pa 1093W	|Pi 51	
03:32	|R 2476	|V 36.6	|I 32.0	|W 1172	|TH 78%	|B 57%	|Wh 56	|T 37.6	|Pa 1094W	|Pi 51	
03:33	|R 2476	|V 36.3	|I 30.4	|W 1103	|TH 79%	|B 57%	|Wh 56	|T 37.7	|Pa 1094W	|Pi 51	
03:34	|R 2442	|V 36.3	|I 35.5	|W 1286	|TH 77%	|B 57%	|Wh 56	|T 37.8	|Pa 1095W	|Pi 51	
03:35	|R 2424	|V 36.6	|I 31.7	|W 1159	|TH 77%	|B 47%	|Wh 57	|T 37.9	|Pa 1095W	|Pi 51	
03:36	|R 2504	|V 36.6	|I 28.8	|W 1055	|TH 79%	|B 47%	|Wh 57	|T 38.1	|Pa 1095W	|Pi 51	
03:37	|R 2403	|V 36.9	|I 29.3	|W 1081	|TH 72%	|B 47%	|Wh 58	|T 38.1	|Pa 1095W	|Pi 51	
03:38	|R 2270	|V 36.9	|I 26.9	|W 992	|TH 72%	|B 47%	|Wh 58	|T 38.2	|Pa 1094W	|Pi 51	
03:39	|R 2391	|V 37.2	|I 22.4	|W 833	|TH 71%	|B 47%	|Wh 59	|T 38.1	|Pa 1093W	|Pi 51	
03:40	|R 2151	|V 37.5	|I 17.6	|W 661	|TH 68%	|B 47%	|Wh 59	|T 38.2	|Pa 1091W	|Pi 51	
03:41	|R 2233	|V 37.3	|I 22.4	|W 835	|TH 68%	|B 47%	|Wh 59	|T 38.2	|Pa 1089W	|Pi 51	
03:42	|R 2273	|V 37.4	|I 19.9	|W 742	|TH 69%	|B 47%	|Wh 60	|T 38.2	|Pa 1088W	|Pi 51	
03:43	|R 2234	|V 37.2	|I 19.3	|W 719	|TH 69%	|B 47%	|Wh 60	|T 38.2	|Pa 1086W	|Pi 52	
03:44	|R 2203	|V 37.3	|I 22.3	|W 830	|TH 66%	|B 47%	|Wh 60	|T 38.2	|Pa 1085W	|Pi 52	
03:45	|R 2281	|V 37.2	|I 16.6	|W 617	|TH 69%	|B 47%	|Wh 60	|T 38.3	|Pa 1082W	|Pi 52	
03:46	|R 2313	|V 37.1	|I 21.6	|W 801	|TH 69%	|B 52%	|Wh 60	|T 38.3	|Pa 1081W	|Pi 52	
03:47	|R 2201	|V 37.3	|I 15.7	|W 586	|TH 68%	|B 52%	|Wh 61	|T 38.2	|Pa 1078W	|Pi 52	
03:48	|R 2206	|V 37.2	|I 21.2	|W 788	|TH 71%	|B 52%	|Wh 61	|T 38.2	|Pa 1077W	|Pi 52	
03:49	|R 2241	|V 37.1	|I 23.5	|W 869	|TH 68%	|B 52%	|Wh 61	|T 38.2	|Pa 1076W	|Pi 52	
03:50	|R 2298	|V 37.0	|I 20.9	|W 772	|TH 71%	|B 52%	|Wh 61	|T 38.2	|Pa 1074W	|Pi 53	
03:51	|R 2351	|V 37.1	|I 22.0	|W 815	|TH 72%	|B 52%	|Wh 61	|T 38.3	|Pa 1073W	|Pi 53	
03:52	|R 2312	|V 37.1	|I 23.0	|W 852	|TH 72%	|B 52%	|Wh 61	|T 38.2	|Pa 1072W	|Pi 53	
03:53	|R 2302	|V 37.0	|I 23.0	|W 852	|TH 71%	|B 52%	|Wh 61	|T 38.2	|Pa 1071W	|Pi 53	
03:54	|R 2308	|V 37.0	|I 22.6	|W 835	|TH 71%	|B 52%	|Wh 62	|T 38.3	|Pa 1070W	|Pi 53	
03:55	|R 2321	|V 36.8	|I 25.3	|W 930	|TH 73%	|B 52%	|Wh 62	|T 38.3	|Pa 1069W	|Pi 53	
03:56	|R 2415	|V 36.6	|I 28.9	|W 1056	|TH 75%	|B 52%	|Wh 62	|T 38.3	|Pa 1069W	|Pi 53	
03:57	|R 2452	|V 36.6	|I 28.9	|W 1057	|TH 75%	|B 50%	|Wh 62	|T 38.4	|Pa 1069W	|Pi 53	
03:58	|R 2474	|V 36.6	|I 29.6	|W 1084	|TH 77%	|B 50%	|Wh 62	|T 38.4	|Pa 1069W	|Pi 53	
03:59	|R 2506	|V 36.1	|I 31.8	|W 1147	|TH 82%	|B 50%	|Wh 62	|T 38.5	|Pa 1069W	|Pi 53	
04:00	|R 2601	|V 36.3	|I 37.3	|W 1352	|TH 82%	|B 50%	|Wh 62	|T 38.5	|Pa 1071W	|Pi 53	
04:01	|R 2663	|V 35.9	|I 35.5	|W 1274	|TH 83%	|B 50%	|Wh 62	|T 38.6	|Pa 1072W	|Pi 53	
04:02	|R 2611	|V 36.0	|I 36.3	|W 1306	|TH 82%	|B 50%	|Wh 63	|T 38.6	|Pa 1073W	|Pi 53	
04:03	|R 2660	|V 36.1	|I 36.8	|W 1327	|TH 83%	|B 50%	|Wh 63	|T 38.7	|Pa 1074W	|Pi 53	
04:04	|R 2703	|V 36.2	|I 35.3	|W 1278	|TH 80%	|B 50%	|Wh 64	|T 38.7	|Pa 1075W	|Pi 53	
04:05	|R 1972	|V 38.2	|I 20.4	|W 778	|TH 0%	|B 50%	|Wh 67	|T 38.9	|Pa 1073W	|Pi 53	
04:06	|R 72	|V 38.3	|I 0.0	|W 0	|TH 0%	|B 50%	|Wh 68	|T 38.8	|Pa 1073W	|Pi 53	
04:07	|R 1	|V 38.4	|I 0.0	|W 0	|TH 0%	|B 50%	|Wh 68	|T 38.4	|Pa 1073W	|Pi 53	
04:08	|R 1	|V 38.5	|I 0.0	|W 0	|TH 0%	|B 50%	|Wh 68	|T 38.3	|Pa 1073W	|Pi 53	
04:09	|R 0	|V 38.6	|I 0.0	|W 0	|TH 0%	|B 50%	|Wh 68	|T 38.3	|Pa 1073W	|Pi 53	
04:10	|R 0	|V 38.6	|I 0.0	|W 0	|TH 0%	|B 50%	|Wh 68	|T 38.2	|Pa 1073W	|Pi 53	
04:11	|R 0	|V 38.7	|I 0.0	|W 0	|TH 0%	|B 50%	|Wh 68	|T 38.0	|Pa 1073W	|Pi 53	
04:12	|R 0	|V 38.7	|I 0.0	|W 0	|TH 0%	|B 50%	|Wh 68	|T 38.0	|Pa 1073W	|Pi 53	
04:13	|R 0	|V 38.7	|I 0.0	|W 0	|TH 0%	|B 50%	|Wh 68	|T 37.9	|Pa 1073W	|Pi 53	
04:14	|R 2636	|V 34.7	|I 24.9	|W 863	|TH 99%	|B 50%	|Wh 61	|T 37.8	|Pa 1072W	|Pi 53	
04:15	|R 3010	|V 37.1	|I 25.3	|W 940	|TH 82%	|B 50%	|Wh 66	|T 37.9	|Pa 1072W	|Pi 53	
04:16	|R 2787	|V 36.9	|I 36.2	|W 1336	|TH 77%	|B 50%	|Wh 66	|T 38.0	|Pa 1073W	|Pi 53	
04:17	|R 2674	|V 36.0	|I 22.5	|W 809	|TH 88%	|B 50%	|Wh 64	|T 37.9	|Pa 1072W	|Pi 53	
04:18	|R 2567	|V 36.0	|I 43.2	|W 1553	|TH 82%	|B 50%	|Wh 65	|T 38.0	|Pa 1074W	|Pi 53	
04:19	|R 2927	|V 37.3	|I 31.6	|W 1178	|TH 79%	|B 54%	|Wh 68	|T 38.1	|Pa 1075W	|Pi 53	
04:20	|R 2423	|V 36.5	|I 29.4	|W 1074	|TH 77%	|B 54%	|Wh 66	|T 38.2	|Pa 1075W	|Pi 53	
04:21	|R 2350	|V 36.7	|I 28.8	|W 1056	|TH 73%	|B 54%	|Wh 67	|T 38.3	|Pa 1074W	|Pi 53	
04:22	|R 2576	|V 36.2	|I 29.9	|W 1083	|TH 78%	|B 54%	|Wh 66	|T 38.3	|Pa 1074W	|Pi 53	
04:23	|R 2665	|V 35.8	|I 35.0	|W 1254	|TH 83%	|B 54%	|Wh 66	|T 38.3	|Pa 1075W	|Pi 53	
04:24	|R 2673	|V 35.7	|I 38.2	|W 1364	|TH 86%	|B 54%	|Wh 66	|T 38.4	|Pa 1077W	|Pi 52	
04:25	|R 2730	|V 35.6	|I 37.8	|W 1344	|TH 88%	|B 54%	|Wh 66	|T 38.4	|Pa 1078W	|Pi 52	
04:26	|R 2789	|V 35.5	|I 38.0	|W 1349	|TH 88%	|B 54%	|Wh 67	|T 38.4	|Pa 1079W	|Pi 52	
04:27	|R 2821	|V 35.1	|I 32.7	|W 1148	|TH 0%	|B 54%	|Wh 66	|T 38.4	|Pa 1079W	|Pi 52	
04:28	|R 649	|V 38.2	|I 10.2	|W 388	|TH 0%	|B 54%	|Wh 72	|T 38.5	|Pa 1076W	|Pi 52	
04:29	|R 2	|V 38.3	|I 0.0	|W 0	|TH 0%	|B 54%	|Wh 72	|T 38.3	|Pa 1076W	|Pi 52	
04:30	|R 1	|V 38.4	|I 0.0	|W 0	|TH 0%	|B 46%	|Wh 72	|T 38.1	|Pa 1076W	|Pi 52	
04:31	|R 0	|V 38.4	|I 0.0	|W 0	|TH 0%	|B 46%	|Wh 72	|T 38.0	|Pa 1076W	|Pi 52	
04:32	|R 0	|V 38.5	|I 0.0	|W 0	|TH 0%	|B 46%	|Wh 73	|T 37.8	|Pa 1076W	|Pi 52	
04:33	|R 0	|V 38.5	|I 0.0	|W 0	|TH 0%	|B 46%	|Wh 73	|T 37.7	|Pa 1076W	|Pi 52	
04:34	|R 0	|V 38.6	|I 0.0	|W 0	|TH 0%	|B 46%	|Wh 73	|T 37.6	|Pa 1076W	|Pi 52	
04:35	|R 0	|V 38.6	|I 0.0	|W 0	|TH 55%	|B 46%	|Wh 73	|T 37.5	|Pa 1076W	|Pi 52	
04:36	|R 2012	|V 37.6	|I 23.2	|W 871	|TH 61%	|B 46%	|Wh 71	|T 37.5	|Pa 1075W	|Pi 53	
04:37	|R 2103	|V 37.2	|I 12.8	|W 477	|TH 66%	|B 46%	|Wh 71	|T 37.6	|Pa 1073W	|Pi 53	
04:38	|R 2230	|V 37.1	|I 23.0	|W 852	|TH 69%	|B 46%	|Wh 71	|T 37.7	|Pa 1072W	|Pi 53	
04:39	|R 2250	|V 36.9	|I 24.4	|W 899	|TH 71%	|B 46%	|Wh 70	|T 37.7	|Pa 1071W	|Pi 53	
04:40	|R 2252	|V 36.9	|I 25.3	|W 933	|TH 72%	|B 46%	|Wh 71	|T 37.8	|Pa 1070W	|Pi 53	
04:41	|R 2459	|V 36.2	|I 32.1	|W 1162	|TH 80%	|B 57%	|Wh 70	|T 37.8	|Pa 1071W	|Pi 53	
04:42	|R 2504	|V 36.1	|I 37.7	|W 1361	|TH 80%	|B 57%	|Wh 70	|T 37.9	|Pa 1072W	|Pi 53	
04:43	|R 2527	|V 36.1	|I 37.0	|W 1337	|TH 79%	|B 57%	|Wh 70	|T 38.0	|Pa 1073W	|Pi 53	
04:44	|R 2540	|V 36.1	|I 33.7	|W 1214	|TH 80%	|B 57%	|Wh 71	|T 37.9	|Pa 1074W	|Pi 53	
04:45	|R 2564	|V 36.1	|I 35.2	|W 1269	|TH 80%	|B 57%	|Wh 71	|T 38.0	|Pa 1075W	|Pi 53	
04:46	|R 2571	|V 36.3	|I 33.8	|W 1228	|TH 79%	|B 57%	|Wh 72	|T 38.1	|Pa 1075W	|Pi 53	
04:47	|R 2542	|V 36.2	|I 32.0	|W 1157	|TH 77%	|B 57%	|Wh 72	|T 38.1	|Pa 1076W	|Pi 52	
04:48	|R 2608	|V 36.2	|I 30.1	|W 1088	|TH 79%	|B 57%	|Wh 72	|T 38.2	|Pa 1076W	|Pi 52	
04:49	|R 2573	|V 36.1	|I 31.2	|W 1127	|TH 80%	|B 57%	|Wh 72	|T 38.2	|Pa 1076W	|Pi 52	
04:50	|R 2496	|V 36.3	|I 30.4	|W 1104	|TH 79%	|B 57%	|Wh 73	|T 38.3	|Pa 1076W	|Pi 52	
04:51	|R 2549	|V 36.0	|I 34.2	|W 1232	|TH 80%	|B 57%	|Wh 73	|T 38.3	|Pa 1077W	|Pi 52	
04:52	|R 2475	|V 36.0	|I 33.3	|W 1197	|TH 79%	|B 42%	|Wh 73	|T 38.4	|Pa 1077W	|Pi 52	
04:53	|R 2509	|V 35.9	|I 33.9	|W 1217	|TH 80%	|B 42%	|Wh 73	|T 38.5	|Pa 1078W	|Pi 52	
04:54	|R 2559	|V 36.0	|I 35.1	|W 1263	|TH 79%	|B 42%	|Wh 74	|T 38.5	|Pa 1078W	|Pi 52	
04:55	|R 2526	|V 35.7	|I 34.8	|W 1243	|TH 82%	|B 42%	|Wh 73	|T 38.5	|Pa 1079W	|Pi 52	
04:56	|R 2556	|V 35.6	|I 37.5	|W 1336	|TH 82%	|B 42%	|Wh 74	|T 38.7	|Pa 1080W	|Pi 52	
04:57	|R 2571	|V 35.7	|I 36.2	|W 1290	|TH 82%	|B 42%	|Wh 74	|T 38.7	|Pa 1081W	|Pi 52	
04:58	|R 2551	|V 35.6	|I 36.1	|W 1284	|TH 80%	|B 42%	|Wh 74	|T 38.8	|Pa 1082W	|Pi 52	
04:59	|R 2510	|V 35.7	|I 36.1	|W 1289	|TH 80%	|B 42%	|Wh 75	|T 38.9	|Pa 1082W	|Pi 52	
05:00	|R 2580	|V 35.9	|I 31.9	|W 1145	|TH 80%	|B 42%	|Wh 76	|T 39.0	|Pa 1083W	|Pi 52	
05:01	|R 2410	|V 36.1	|I 30.0	|W 1084	|TH 77%	|B 42%	|Wh 76	|T 39.0	|Pa 1083W	|Pi 52	
05:02	|R 2528	|V 36.2	|I 28.6	|W 1034	|TH 78%	|B 42%	|Wh 77	|T 39.0	|Pa 1082W	|Pi 52	
05:03	|R 2412	|V 36.2	|I 28.8	|W 1042	|TH 77%	|B 39%	|Wh 77	|T 39.1	|Pa 1082W	|Pi 52	
05:04	|R 2777	|V 37.0	|I 22.1	|W 818	|TH 75%	|B 39%	|Wh 79	|T 39.1	|Pa 1081W	|Pi 52	
05:05	|R 2585	|V 36.5	|I 24.0	|W 874	|TH 75%	|B 39%	|Wh 78	|T 39.1	|Pa 1080W	|Pi 52	
05:06	|R 2421	|V 36.2	|I 27.5	|W 995	|TH 77%	|B 39%	|Wh 78	|T 39.2	|Pa 1080W	|Pi 52	
05:07	|R 2434	|V 36.2	|I 28.5	|W 1030	|TH 77%	|B 39%	|Wh 78	|T 39.2	|Pa 1080W	|Pi 52	
05:08	|R 2475	|V 36.1	|I 27.9	|W 1005	|TH 77%	|B 39%	|Wh 78	|T 39.2	|Pa 1080W	|Pi 52	
05:09	|R 2437	|V 36.2	|I 28.1	|W 1016	|TH 77%	|B 39%	|Wh 79	|T 39.2	|Pa 1079W	|Pi 52	
05:10	|R 2465	|V 36.3	|I 26.9	|W 977	|TH 78%	|B 39%	|Wh 79	|T 39.3	|Pa 1079W	|Pi 52	
05:11	|R 2482	|V 35.9	|I 31.2	|W 1120	|TH 79%	|B 39%	|Wh 79	|T 39.3	|Pa 1079W	|Pi 52	
05:12	|R 2571	|V 35.6	|I 35.1	|W 1249	|TH 82%	|B 39%	|Wh 78	|T 39.4	|Pa 1080W	|Pi 52	
05:13	|R 2652	|V 35.4	|I 36.9	|W 1305	|TH 85%	|B 39%	|Wh 78	|T 39.4	|Pa 1081W	|Pi 52	
05:14	|R 2703	|V 35.5	|I 36.9	|W 1308	|TH 85%	|B 41%	|Wh 79	|T 39.4	|Pa 1081W	|Pi 52	
05:15	|R 2732	|V 35.3	|I 36.6	|W 1293	|TH 88%	|B 41%	|Wh 79	|T 39.5	|Pa 1082W	|Pi 52	
05:16	|R 2028	|V 37.6	|I 28.8	|W 1081	|TH 0%	|B 41%	|Wh 84	|T 39.5	|Pa 1082W	|Pi 52	
05:17	|R 259	|V 37.8	|I 0.0	|W 0	|TH 0%	|B 41%	|Wh 85	|T 39.5	|Pa 1082W	|Pi 52	
05:18	|R 2	|V 37.9	|I 0.0	|W 0	|TH 0%	|B 41%	|Wh 85	|T 39.2	|Pa 1082W	|Pi 52	
05:19	|R 1	|V 38.0	|I 0.0	|W 0	|TH 0%	|B 41%	|Wh 85	|T 39.1	|Pa 1082W	|Pi 52	
05:20	|R 0	|V 38.1	|I 0.0	|W 0	|TH 0%	|B 41%	|Wh 85	|T 39.0	|Pa 1082W	|Pi 52	
05:21	|R 0	|V 38.1	|I 0.0	|W 0	|TH 0%	|B 41%	|Wh 85	|T 38.9	|Pa 1082W	|Pi 52	
05:22	|R 0	|V 38.2	|I 0.0	|W 0	|TH 0%	|B 41%	|Wh 85	|T 38.7	|Pa 1082W	|Pi 52	
05:23	|R 0	|V 38.2	|I 0.0	|W 0	|TH 0%	|B 41%	|Wh 85	|T 38.6	|Pa 1082W	|Pi 52	
05:24	|R 0	|V 38.2	|I 0.0	|W 0	|TH 0%	|B 41%	|Wh 85	|T 38.5	|Pa 1082W	|Pi 52	
05:25	|R 0	|V 38.3	|I 0.0	|W 0	|TH 0%	|B 58%	|Wh 86	|T 38.4	|Pa 1082W	|Pi 52	
05:26	|R 0	|V 38.3	|I 0.0	|W 0	|TH 0%	|B 58%	|Wh 86	|T 38.3	|Pa 1082W	|Pi 52	
05:27	|R 0	|V 38.3	|I 0.0	|W 0	|TH 0%	|B 58%	|Wh 86	|T 38.2	|Pa 1082W	|Pi 52	
05:28	|R 0	|V 38.4	|I 0.0	|W 0	|TH 0%	|B 58%	|Wh 86	|T 38.1	|Pa 1082W	|Pi 52	
05:29	|R 0	|V 38.4	|I 0.0	|W 0	|TH 0%	|B 58%	|Wh 86	|T 38.0	|Pa 1082W	|Pi 52	
05:30	|R 1919	|V 37.6	|I 0.6	|W 22	|TH 85%	|B 58%	|Wh 84	|T 37.9	|Pa 1082W	|Pi 52	
05:31	|R 2357	|V 36.4	|I 27.3	|W 993	|TH 79%	|B 58%	|Wh 82	|T 38.1	|Pa 1082W	|Pi 52	
05:32	|R 2490	|V 37.2	|I 24.4	|W 908	|TH 73%	|B 58%	|Wh 84	|T 38.2	|Pa 1081W	|Pi 52	
05:33	|R 2258	|V 36.8	|I 23.3	|W 855	|TH 71%	|B 58%	|Wh 83	|T 38.2	|Pa 1080W	|Pi 52	
05:34	|R 2258	|V 36.7	|I 24.9	|W 913	|TH 71%	|B 58%	|Wh 83	|T 38.3	|Pa 1080W	|Pi 52	
05:35	|R 2378	|V 36.4	|I 25.0	|W 908	|TH 75%	|B 58%	|Wh 83	|T 38.4	|Pa 1079W	|Pi 52	
05:36	|R 2283	|V 36.5	|I 31.3	|W 1141	|TH 73%	|B 54%	|Wh 83	|T 38.5	|Pa 1079W	|Pi 52	
05:37	|R 2450	|V 35.8	|I 30.2	|W 1082	|TH 80%	|B 54%	|Wh 82	|T 38.7	|Pa 1079W	|Pi 52	
05:38	|R 2428	|V 36.1	|I 34.7	|W 1251	|TH 77%	|B 54%	|Wh 83	|T 38.7	|Pa 1080W	|Pi 52	
05:39	|R 2421	|V 36.1	|I 31.7	|W 1143	|TH 78%	|B 54%	|Wh 83	|T 38.8	|Pa 1080W	|Pi 52	
05:40	|R 2381	|V 36.2	|I 31.5	|W 1139	|TH 75%	|B 54%	|Wh 84	|T 38.9	|Pa 1080W	|Pi 52	
05:41	|R 2372	|V 36.2	|I 29.9	|W 1081	|TH 77%	|B 54%	|Wh 84	|T 39.0	|Pa 1080W	|Pi 52	
05:42	|R 2404	|V 36.2	|I 29.5	|W 1069	|TH 77%	|B 54%	|Wh 84	|T 39.1	|Pa 1080W	|Pi 52	
05:43	|R 2536	|V 35.8	|I 31.8	|W 1137	|TH 80%	|B 54%	|Wh 84	|T 39.1	|Pa 1081W	|Pi 52	
05:44	|R 2522	|V 35.8	|I 35.1	|W 1258	|TH 80%	|B 54%	|Wh 84	|T 39.2	|Pa 1081W	|Pi 52	
05:45	|R 2542	|V 35.8	|I 33.8	|W 1211	|TH 79%	|B 54%	|Wh 85	|T 39.3	|Pa 1082W	|Pi 52	
05:46	|R 2475	|V 35.9	|I 32.7	|W 1174	|TH 79%	|B 54%	|Wh 85	|T 39.3	|Pa 1082W	|Pi 52	
05:47	|R 2545	|V 35.8	|I 32.6	|W 1166	|TH 79%	|B 40%	|Wh 85	|T 39.4	|Pa 1082W	|Pi 52	
05:48	|R 2566	|V 35.8	|I 33.3	|W 1192	|TH 80%	|B 40%	|Wh 86	|T 39.4	|Pa 1083W	|Pi 52	
05:49	|R 2577	|V 35.6	|I 35.2	|W 1253	|TH 82%	|B 40%	|Wh 85	|T 39.5	|Pa 1083W	|Pi 52	
05:50	|R 2591	|V 35.6	|I 34.9	|W 1241	|TH 80%	|B 40%	|Wh 86	|T 39.6	|Pa 1084W	|Pi 52	
05:51	|R 2537	|V 35.7	|I 32.8	|W 1172	|TH 80%	|B 40%	|Wh 86	|T 39.6	|Pa 1084W	|Pi 52	
05:52	|R 2501	|V 36.0	|I 31.8	|W 1145	|TH 79%	|B 40%	|Wh 87	|T 39.6	|Pa 1084W	|Pi 52	
05:53	|R 2623	|V 35.4	|I 32.8	|W 1159	|TH 83%	|B 40%	|Wh 86	|T 39.7	|Pa 1085W	|Pi 52	
05:54	|R 2998	|V 36.4	|I 30.0	|W 1093	|TH 82%	|B 40%	|Wh 89	|T 39.8	|Pa 1085W	|Pi 52	
05:55	|R 3170	|V 37.0	|I 31.6	|W 1169	|TH 79%	|B 40%	|Wh 91	|T 39.8	|Pa 1085W	|Pi 52	
05:56	|R 3001	|V 36.7	|I 28.4	|W 1041	|TH 79%	|B 40%	|Wh 90	|T 39.8	|Pa 1085W	|Pi 52	
05:57	|R 2538	|V 35.4	|I 25.9	|W 915	|TH 82%	|B 40%	|Wh 87	|T 39.8	|Pa 1084W	|Pi 52	
05:58	|R 2562	|V 35.3	|I 38.3	|W 1352	|TH 83%	|B 40%	|Wh 87	|T 39.9	|Pa 1085W	|Pi 52	
05:59	|R 2578	|V 35.5	|I 37.3	|W 1323	|TH 82%	|B 40%	|Wh 88	|T 39.9	|Pa 1086W	|Pi 52	
06:00	|R 2667	|V 35.3	|I 35.4	|W 1249	|TH 85%	|B 40%	|Wh 88	|T 39.9	|Pa 1086W	|Pi 52	
06:01	|R 2716	|V 35.1	|I 36.4	|W 1276	|TH 88%	|B 40%	|Wh 88	|T 40.0	|Pa 1087W	|Pi 52	
06:02	|R 2792	|V 35.2	|I 35.7	|W 1256	|TH 86%	|B 40%	|Wh 89	|T 40.0	|Pa 1088W	|Pi 51	
06:03	|R 1108	|V 37.5	|I 16.8	|W 630	|TH 0%	|B 40%	|Wh 95	|T 40.0	|Pa 1086W	|Pi 52	
06:04	|R 5	|V 37.6	|I 0.0	|W 0	|TH 0%	|B 40%	|Wh 95	|T 39.7	|Pa 1086W	|Pi 52	
06:05	|R 1	|V 37.7	|I 0.0	|W 0	|TH 0%	|B 40%	|Wh 95	|T 39.6	|Pa 1086W	|Pi 52	
06:06	|R 1	|V 37.8	|I 0.0	|W 0	|TH 0%	|B 40%	|Wh 95	|T 39.4	|Pa 1086W	|Pi 52	
06:07	|R 0	|V 37.9	|I 0.0	|W 0	|TH 0%	|B 40%	|Wh 96	|T 39.3	|Pa 1086W	|Pi 52	
06:08	|R 0	|V 37.9	|I 0.0	|W 0	|TH 0%	|B 40%	|Wh 96	|T 39.2	|Pa 1086W	|Pi 52	
06:09	|R 0	|V 37.9	|I 0.0	|W 0	|TH 0%	|B 49%	|Wh 96	|T 39.0	|Pa 1086W	|Pi 52	
06:10	|R 0	|V 38.0	|I 0.0	|W 0	|TH 0%	|B 49%	|Wh 96	|T 38.9	|Pa 1086W	|Pi 52	
06:11	|R 0	|V 38.0	|I 0.0	|W 0	|TH 0%	|B 49%	|Wh 96	|T 38.8	|Pa 1086W	|Pi 52	
06:12	|R 1242	|V 37.9	|I 0.1	|W 2	|TH 92%	|B 49%	|Wh 96	|T 38.8	|Pa 1086W	|Pi 52	
06:13	|R 2574	|V 37.9	|I 26.2	|W 994	|TH 55%	|B 49%	|Wh 96	|T 38.7	|Pa 1086W	|Pi 52	
06:14	|R 2327	|V 36.1	|I 24.8	|W 894	|TH 73%	|B 49%	|Wh 91	|T 38.7	|Pa 1085W	|Pi 52	
