00:44	|R 2627	|V 37.3	|I 30.8	|W 1148	|TH 80%	|B 53%	|Wh 18	|T 31.1	|Pa 1415W	|Pi 24	
00:45	|R 2727	|V 37.2	|I 26.3	|W 979	|TH 80%	|B 54%	|Wh 18	|T 31.2	|Pa 1406W	|Pi 25	
00:46	|R 2676	|V 37.2	|I 24.1	|W 897	|TH 80%	|B 54%	|Wh 18	|T 31.2	|Pa 1395W	|Pi 26	
00:47	|R 2580	|V 37.3	|I 29.2	|W 1087	|TH 80%	|B 54%	|Wh 19	|T 31.3	|Pa 1388W	|Pi 26	
00:48	|R 2591	|V 37.3	|I 27.3	|W 1017	|TH 77%	|B 54%	|Wh 19	|T 31.4	|Pa 1380W	|Pi 27	
00:49	|R 2584	|V 37.1	|I 30.3	|W 1124	|TH 77%	|B 54%	|Wh 19	|T 31.4	|Pa 1375W	|Pi 28	
00:50	|R 2616	|V 37.1	|I 30.2	|W 1121	|TH 79%	|B 54%	|Wh 20	|T 31.6	|Pa 1370W	|Pi 28	
00:51	|R 2686	|V 36.8	|I 32.5	|W 1196	|TH 80%	|B 54%	|Wh 20	|T 31.6	|Pa 1367W	|Pi 28	
00:52	|R 2690	|V 37.1	|I 31.7	|W 1176	|TH 80%	|B 54%	|Wh 20	|T 31.7	|Pa 1363W	|Pi 29	
00:53	|R 2685	|V 37.0	|I 33.1	|W 1226	|TH 80%	|B 54%	|Wh 20	|T 31.8	|Pa 1360W	|Pi 29	
00:54	|R 2693	|V 36.6	|I 35.3	|W 1290	|TH 83%	|B 54%	|Wh 21	|T 31.9	|Pa 1359W	|Pi 29	
00:55	|R 2688	|V 36.8	|I 36.2	|W 1331	|TH 80%	|B 54%	|Wh 21	|T 32.0	|Pa 1358W	|Pi 29	
00:56	|R 2678	|V 36.8	|I 34.2	|W 1256	|TH 82%	|B 51%	|Wh 21	|T 32.1	|Pa 1357W	|Pi 29	
00:57	|R 2720	|V 36.7	|I 34.0	|W 1247	|TH 83%	|B 51%	|Wh 22	|T 32.1	|Pa 1355W	|Pi 29	
00:58	|R 2714	|V 36.8	|I 35.5	|W 1307	|TH 82%	|B 51%	|Wh 22	|T 32.2	|Pa 1354W	|Pi 29	
00:59	|R 2704	|V 37.0	|I 34.3	|W 1269	|TH 82%	|B 51%	|Wh 23	|T 32.3	|Pa 1352W	|Pi 29	
01:00	|R 2679	|V 36.7	|I 32.7	|W 1198	|TH 82%	|B 51%	|Wh 23	|T 32.4	|Pa 1350W	|Pi 30	
01:01	|R 2645	|V 37.0	|I 29.0	|W 1072	|TH 79%	|B 51%	|Wh 23	|T 32.5	|Pa 1345W	|Pi 30	
01:02	|R 2573	|V 36.7	|I 32.5	|W 1191	|TH 79%	|B 51%	|Wh 23	|T 32.6	|Pa 1343W	|Pi 30	
01:03	|R 2761	|V 37.4	|I 30.2	|W 1128	|TH 79%	|B 51%	|Wh 24	|T 32.7	|Pa 1339W	|Pi 31	
01:04	|R 2618	|V 36.7	|I 27.2	|W 998	|TH 80%	|B 51%	|Wh 24	|T 32.8	|Pa 1334W	|Pi 31	
01:05	|R 2635	|V 38.0	|I 16.3	|W 620	|TH 79%	|B 51%	|Wh 25	|T 32.8	|Pa 1323W	|Pi 32	
01:06	|R 2563	|V 37.8	|I 21.2	|W 802	|TH 75%	|B 51%	|Wh 25	|T 32.9	|Pa 1315W	|Pi 33	
01:07	|R 2505	|V 37.0	|I 29.4	|W 1088	|TH 77%	|B 51%	|Wh 25	|T 32.9	|Pa 1312W	|Pi 33	
01:08	|R 2512	|V 37.0	|I 32.0	|W 1185	|TH 77%	|B 51%	|Wh 25	|T 33.0	|Pa 1310W	|Pi 33	
01:09	|R 2588	|V 36.7	|I 31.8	|W 1165	|TH 80%	|B 51%	|Wh 25	|T 33.1	|Pa 1308W	|Pi 33	
01:10	|R 2562	|V 36.9	|I 33.0	|W 1217	|TH 78%	|B 51%	|Wh 26	|T 33.2	|Pa 1306W	|Pi 33	
01:11	|R 2511	|V 37.0	|I 31.9	|W 1178	|TH 78%	|B 51%	|Wh 26	|T 33.3	|Pa 1305W	|Pi 33	
01:12	|R 2484	|V 36.9	|I 25.3	|W 933	|TH 77%	|B 51%	|Wh 26	|T 33.3	|Pa 1299W	|Pi 34	
01:13	|R 2586	|V 37.2	|I 25.9	|W 961	|TH 78%	|B 51%	|Wh 27	|T 33.4	|Pa 1295W	|Pi 34	
01:14	|R 2671	|V 37.1	|I 30.4	|W 1125	|TH 79%	|B 51%	|Wh 27	|T 33.4	|Pa 1293W	|Pi 34	
01:15	|R 2635	|V 36.7	|I 25.2	|W 925	|TH 79%	|B 51%	|Wh 27	|T 33.4	|Pa 1288W	|Pi 35	
01:16	|R 3321	|V 38.7	|I 29.8	|W 1152	|TH 78%	|B 51%	|Wh 29	|T 33.6	|Pa 1286W	|Pi 35	
01:17	|R 2490	|V 37.0	|I 28.0	|W 1037	|TH 80%	|B 51%	|Wh 28	|T 33.5	|Pa 1283W	|Pi 35	
01:18	|R 2542	|V 36.8	|I 34.7	|W 1276	|TH 79%	|B 51%	|Wh 28	|T 33.7	|Pa 1282W	|Pi 35	
01:19	|R 2570	|V 36.6	|I 34.2	|W 1251	|TH 79%	|B 51%	|Wh 28	|T 33.8	|Pa 1282W	|Pi 35	
01:20	|R 2513	|V 36.7	|I 34.1	|W 1250	|TH 79%	|B 51%	|Wh 29	|T 33.9	|Pa 1282W	|Pi 35	
01:21	|R 2570	|V 36.8	|I 34.9	|W 1283	|TH 78%	|B 51%	|Wh 29	|T 34.0	|Pa 1282W	|Pi 35	
01:22	|R 2504	|V 36.7	|I 30.0	|W 1102	|TH 80%	|B 51%	|Wh 29	|T 34.0	|Pa 1279W	|Pi 36	
