00:01	|R 1794	|V 40.9	|I 11.2	|W 457	|TH 80%	|B 99%	|Wh 0	|T 22.9	|Pa 457W	|Pi 99	
00:02	|R 2453	|V 38.9	|I 48.0	|W 1866	|TH 99%	|B 95%	|Wh 1	|T 23.2	|Pa 1161W	|Pi 45	|ESP fails	
00:03	|R 2606	|V 38.5	|I 65.7	|W 2530	|TH 99%	|B 95%	|Wh 1	|T 23.7	|Pa 1617W	|Pi 7	
00:04	|R 2655	|V 38.5	|I 64.8	|W 2495	|TH 99%	|B 95%	|Wh 2	|T 24.1	|Pa 1837W	|Pi 99	
00:05	|R 2491	|V 39.7	|I 56.7	|W 2251	|TH 64%	|B 95%	|Wh 3	|T 24.4	|Pa 1919W	|Pi 99	
00:06	|R 1122	|V 41.1	|I 27.1	|W 1112	|TH 30%	|B 95%	|Wh 3	|T 24.6	|Pa 1785W	|Pi 99	
00:07	|R 2059	|V 40.6	|I 7.7	|W 312	|TH 61%	|B 95%	|Wh 3	|T 24.6	|Pa 1574W	|Pi 11	
00:08	|R 1905	|V 40.4	|I 20.9	|W 843	|TH 61%	|B 95%	|Wh 3	|T 24.8	|Pa 1483W	|Pi 19	|ESP fails	
00:09	|R 275	|V 41.3	|I 13.9	|W 575	|TH 16%	|B 95%	|Wh 3	|T 25.0	|Pa 1382W	|Pi 27	
00:10	|R 151	|V 41.3	|I 0.0	|W 0	|TH 16%	|B 95%	|Wh 3	|T 24.9	|Pa 1382W	|Pi 27	|ESP fails	|LoRa fails	
00:11	|R 4	|V 41.3	|I 0.0	|W 0	|TH 0%	|B 95%	|Wh 3	|T 24.6	|Pa 1382W	|Pi 27	|ESP fails	
00:12	|R 1	|V 41.3	|I 0.0	|W 0	|TH 0%	|B 95%	|Wh 3	|T 24.5	|Pa 1382W	|Pi 27	|ESP fails	
00:13	|R 1171	|V 41.2	|I 0.2	|W 7	|TH 63%	|B 86%	|Wh 3	|T 24.5	|Pa 1382W	|Pi 27	
00:14	|R 1953	|V 40.3	|I 26.6	|W 1070	|TH 99%	|B 86%	|Wh 4	|T 24.6	|Pa 1351W	|Pi 30	|ESP fails	
00:15	|R 2497	|V 38.4	|I 48.2	|W 1850	|TH 99%	|B 86%	|Wh 4	|T 24.9	|Pa 1396W	|Pi 26	|ESP fails	
00:16	|R 2638	|V 38.3	|I 65.3	|W 2499	|TH 99%	|B 86%	|Wh 5	|T 25.3	|Pa 1488W	|Pi 18	
00:17	|R 2708	|V 38.3	|I 65.3	|W 2500	|TH 99%	|B 86%	|Wh 5	|T 25.5	|Pa 1566W	|Pi 12	
00:18	|R 2818	|V 38.2	|I 66.6	|W 2544	|TH 99%	|B 86%	|Wh 6	|T 25.8	|Pa 1636W	|Pi 6	
00:19	|R 2846	|V 38.2	|I 67.9	|W 2593	|TH 99%	|B 86%	|Wh 7	|T 26.0	|Pa 1699W	|Pi 1	
00:20	|R 2892	|V 38.2	|I 68.7	|W 2624	|TH 99%	|B 86%	|Wh 8	|T 26.2	|Pa 1757W	|Pi 99	
00:21	|R 2945	|V 38.2	|I 69.0	|W 2635	|TH 99%	|B 86%	|Wh 8	|T 26.4	|Pa 1809W	|Pi 99	
00:22	|R 2988	|V 38.2	|I 68.9	|W 2631	|TH 99%	|B 86%	|Wh 9	|T 26.7	|Pa 1854W	|Pi 99	
00:23	|R 2860	|V 38.9	|I 49.3	|W 1917	|TH 85%	|B 86%	|Wh 10	|T 26.8	|Pa 1858W	|Pi 99	
